interStrokeTime,strokeDuration,startX,startY,stopX,stopY,distanceEndToEnd,meanResultantLength,UDLRflag,directionEndToEnd,20pcPairwiseVelocity,50pcPairwiseVelocity,80pcPairwiseVelocity,20pcPairwiseAccel,50pcPairwiseAccel,80pcPairwiseAccel,medianVelocityLast3Points,largestDeviationEndToEnd,20pcDeviationEndToEnd,50pcDeviationEndToEnd,80pcDeviationEndToEnd,averageDirection,trajectoryLength,distE2EandtrajLength,averageVelocity,medianAccellerationAtFirst5points,midStrokePressure,midStrokeAreaCovered,midStrokeFingerOrientation,changeFingerOrientation,phoneOrientation,docID,phoneID,userID
0.734,0.14,25.618,-37.064,1.1991,-36.955,24.419,0.71388,4,3.1371,7.547,281.76,784.63,-57259,1092,7.0471e+005,216.2,0.38592,-1.3878e-017,0.10025,0.29093,3.1281,24.433,0.99945,174.52,6831.7,0.44,0.11111,0,0,1,4,2,20
2.131,0.127,25.945,-40.771,3.8155,-39.354,22.175,0.66033,4,3.0776,93.853,261.93,1802.5,-1.7243e+005,-3863.3,2.6123e+006,206.31,0.83709,0,0.71491,0.81153,3.061,22.343,0.99249,175.93,-3863.3,0.405,0.11111,0,0,1,4,2,20
0.38,0.141,8.612,-38.045,29.433,-42.951,21.392,0.99316,2,-0.23138,121.85,181.44,384.85,-29890,-1105.6,2.1522e+005,184.45,-0.86386,-0.81947,-0.37943,0,-0.21341,21.489,0.99546,152.4,2423.8,0.39,0.13333,0,0,1,4,2,20
1.157,0.126,12.209,-37.827,33.576,-42.188,21.807,0.99301,2,-0.20132,29.434,229.26,439.33,-23112,-953.88,82336,217.28,-0.7782,-0.40719,-0.089373,0,-0.16382,21.88,0.99665,173.65,1330.9,0.42,0.13333,0,0,1,4,2,20
0.441,0.171,28.888,-42.406,0.21803,-41.534,28.684,0.71292,4,3.1112,17.867,163.63,957.02,-84439,4277.4,9.8086e+005,202.6,0.5067,0,0.20612,0.42508,3.0566,28.711,0.99905,167.9,10205,0.41,0.13333,0,0,1,4,2,20
1.413,0.074,21.039,-42.079,0,-40.444,21.103,0.49999,4,3.064,81.776,432.26,1934.5,-1.0148e+005,-8017.2,8.6232e+005,432.26,0.48486,0,0,0.39926,3.0484,21.126,0.99891,285.48,-8017.2,0.45,0.1,0,0,1,4,2,20
0.343,0.111,9.4841,-39.136,26.817,-40.553,17.391,0.99008,2,-0.08158,84.006,188.73,782.78,-35537,-2801.2,4.7376e+005,190.59,-1.0585,-1.013,-0.81864,0,-0.05903,17.601,0.98804,158.57,-2801.2,0.4,0.13333,0,0,1,4,2,20
0.72,0.088,18.314,-42.079,34.012,-44.041,15.82,0.99545,2,-0.12435,104.22,242.4,999.24,-69725,-2729.7,5.2731e+005,225.43,-0.68959,-0.61387,-0.2231,0,-0.10352,15.89,0.99562,180.56,-2729.7,0.44,0.11111,0,0,1,4,2,20
0.409,0.115,27.798,-42.406,11.01,-40.989,16.848,0.60035,4,3.0574,39.829,94.111,361.22,-70012,-8085.5,23328,179.49,0.11074,-0.027721,0,0.10186,3.0194,16.857,0.99943,146.58,-8085.5,0.5,0.13333,0,0,1,4,2,20
0.838,0.058,16.352,-41.752,4.2515,-41.643,12.101,0.49981,4,3.1326,58.168,478.74,1526.6,-85297,-23139,1.2587e+005,478.74,-0.15909,-0.1203,0,0,3.1179,12.105,0.99965,208.71,-23139,0.4,0.11111,0,0,1,4,2,20
0.381,0.141,12.645,-39.027,24.964,-40.553,12.413,0.98532,2,-0.12327,7.8652,114,232.25,-12069,-2721,-1935.3,114,-0.95261,-0.8224,0,0,-0.14786,12.588,0.9861,89.274,-2721,0.44,0.13333,0,0,1,4,2,20
0.804,0.087,23.22,-39.79,34.448,-44.477,12.168,0.90773,2,-0.39548,38.076,130.85,2383,-1.935e+005,-3254.4,1.4449e+006,130.85,-1.3156,-0.93176,0,0,-0.41199,12.775,0.95241,146.84,-3254.4,0.43,0.14444,0,0,1,4,2,20
0.345,0.11,28.125,-40.662,5.1236,-39.245,23.045,0.66584,4,3.0801,71.332,301.32,1325.6,-1.1449e+005,-3846.7,1.7498e+006,190.38,0.49143,0,0.11242,0.46916,3.0671,23.079,0.99853,209.81,-3846.7,0.48,0.12222,0,0,1,4,2,20
0.781,0.081,22.457,-39.681,4.3605,-39.027,18.108,0.59997,4,3.1055,89.226,378.83,1936.2,-82325,3.0399e+005,9.0162e+005,825.12,0.13913,0,0.047252,0.11616,3.1003,18.111,0.99984,223.59,3.0399e+005,0.45,0.11111,0,0,1,4,2,20
0.473,0.142,11.119,-37.718,29.324,-39.245,18.269,0.9788,2,-0.083637,25.683,173.25,224.91,-5401.7,-510.67,9721.6,173.25,-1.824,-1.7168,-0.2628,2.2204e-016,0.065546,18.706,0.97665,131.73,-510.67,0.39,0.13333,0,0,1,4,2,20
0.619,0.096,17.333,-38.155,30.742,-40.771,13.661,0.98946,2,-0.1927,42.502,178.86,1106.7,-73659,-312.41,6.4234e+005,238.83,-0.80899,-0.67929,-0.19964,-3.1086e-016,-0.1153,13.778,0.99151,143.52,-312.41,0.5,0.13333,0,0,1,4,2,20
0.383,0.145,31.614,-41.098,5.4506,-40.226,26.178,0.6652,4,3.1083,130.17,212.86,251.1,-6291.1,241.18,1851.9,206.58,0.54476,0,0.10532,0.49573,3.0803,26.219,0.99842,180.82,241.18,0.425,0.11111,0,0,1,4,2,20
1.34,0.094,24.746,-39.681,9.2661,-38.373,15.535,0.66256,4,3.0573,61.881,212.6,1390.9,-70405,-2762.5,6.1636e+005,132.24,0.59362,0,0.26468,0.46969,3.0683,15.614,0.99493,166.11,-2762.5,0.54,0.12222,0,0,1,4,2,20
0.384,0.142,11.228,-39.136,28.67,-38.591,17.451,0.98306,2,0.03124,6.7711,148.9,236.93,-8507.7,-3672.9,18490,158.73,-1.0113,-0.83729,-0.051075,0,0.15251,17.596,0.99176,123.91,-3672.9,0.4,0.13333,0,0,1,4,2,20
0.846,0.119,10.356,-39.899,29.106,-40.88,18.776,0.99023,2,-0.052278,102.36,163.98,263.01,-8360.3,-4151.8,1867.7,158.3,-1.3836,-1.3483,-0.52786,0,-0.088463,19.027,0.98678,159.89,-4151.8,0.43,0.13333,0,0,1,4,2,20
0.355,0.156,30.524,-40.553,0,-40.335,30.524,0.72042,4,3.1344,108.98,224.44,369.23,-9053.1,-1205.9,12984,147.29,1.4311,0,0.99861,1.1061,-3.0517,31.215,0.97787,200.1,-463.32,0.5,0.11111,0,0,1,4,2,20
1.218,0.079,19.404,-39.463,5.3416,-38.264,14.114,0.5987,4,3.0565,70.238,355.77,1020,-61749,26532,4.6983e+005,268.65,-0.46563,-0.43203,-0.1524,0,2.9671,14.162,0.99658,179.27,26532,0.47,0.13333,0,0,1,4,2,20
0.342,0.116,12.318,-36.737,27.471,-38.373,15.241,0.99544,2,-0.1075,49.513,165.07,588.2,-47286,-1892.4,3.4901e+005,116.15,-0.47096,-0.45622,-0.41482,2.2204e-016,-0.093887,15.31,0.99548,131.98,-1892.4,0.49,0.14444,0,0,1,4,2,20
0.723,0.103,16.788,-36.083,30.306,-38.591,13.748,0.99168,2,-0.1834,54.431,111.4,263.95,-9947,-2944.3,-479.3,110.13,-0.71658,-0.45035,-0.0255,0,-0.18613,13.832,0.99392,134.29,-2944.3,0.55,0.15556,0,0,1,4,2,20
0.422,0.202,31.069,-39.245,5.1236,-35.429,26.224,0.66087,4,2.9956,50.186,121.08,220.06,-3833.2,-138.27,2191.4,193.07,0.87868,0,0.53926,0.64458,2.9374,26.361,0.99482,130.5,-138.27,0.54,0.14444,0,0,1,4,2,20
1.029,0.116,26.49,-38.591,9.7021,-33.794,17.46,0.71558,4,2.8633,53.958,188.68,698.49,-35739,-2302.7,1.5678e+005,191.98,0.44922,8.8818e-016,0.044922,0.44772,2.8159,17.569,0.9938,151.45,935.14,0.59,0.15556,0,0,1,4,2,20
0.391,0.141,5.8867,-37.173,23.656,-36.955,17.77,0.9869,2,0.012269,27.396,156.36,232.52,-5449.8,-1205,10253,156.36,-1.1161,-1.086,-0.21132,2.7756e-017,0.092058,17.958,0.98955,127.36,-1205,0.46,0.13333,0,0,1,4,2,20
2.021,0.096,14.499,-37.173,23.983,-37.5,9.4898,0.99358,2,-0.034469,16.349,103.13,992.23,-67329,-146.64,6.1935e+005,144.48,-0.42452,-0.30355,-0.063866,0,0.020224,9.5404,0.99469,99.38,-146.64,0.48,0.17778,0,0,1,4,2,20
0.4,0.187,28.561,-40.444,5.9957,-36.301,22.943,0.77245,4,2.96,23.107,145.85,221.06,-3333,-1273.6,6697.8,35.111,0.47188,0,0.27815,0.45701,2.9728,23.21,0.98848,124.12,1252.5,0.46,0.17778,0,0,1,4,2,20
1.211,0.152,25.836,-40.444,1.1991,-38.591,24.707,0.7945,4,3.0665,71.255,164.44,706.91,-42375,-2213.4,2.3565e+005,139.43,0.99903,0,0.69216,0.89918,3.0824,24.865,0.99363,163.59,-2679.8,0.48,0.13333,0,0,1,4,2,20
0.383,0.128,13.082,-39.354,34.666,-41.752,21.717,0.98875,2,-0.11066,132.86,212.96,638.59,-31533,-2200.7,1.0855e+006,198.43,-1.4807,-1.4314,-0.92094,3.9968e-016,-0.10403,22.004,0.98697,171.91,-1614.9,0.49,0.15556,0,0,1,4,2,20
